,id,neg,neu,pos,compound,Score,tweet
36,36,0.403,0.597,0.0,-0.66,1,""" it aint nothing to cut a bitch off """
37,37,0.425,0.575,0.0,-0.8126,1,""" jus meet son now he ya mane ass bitches "" Shots"
38,38,0.474,0.526,0.0,-0.7351,1,""" lames crying over hoes thats tears of a clown """
39,39,0.212,0.63,0.158,-0.2187,1,""" like Snoop said in 94 we dont love these hoes """
40,40,0.196,0.804,0.0,-0.296,2,""" momma said no pussy cats inside my doghouse """
41,41,0.174,0.572,0.254,0.3079,1,""" most hated but the hoes favorite "" 2MW SevenOne  http//t.co/BMdSVMc3rC"
42,42,0.218,0.53,0.252,0.0258,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http//t.co/bzRDl3kF7U"
43,43,0.0,1.0,0.0,0.0,1,""" pimps up pimps up hoes down "" Future voice"
44,44,0.0,0.781,0.219,0.4215,1,""" post a picture of that pussy get 200 likes """
45,45,0.0,0.763,0.237,0.4215,1,""" pussy is a powerful drug "" &128517 HappyHumpDay http//t.co/R8jsymiB5b"
46,46,0.0,1.0,0.0,0.0,1,""" quick piece of pussy call it a drive by """
47,47,0.221,0.653,0.126,-0.4404,1,""" running round here like some brand new pussy thats bout to get fucked """
48,48,0.444,0.556,0.0,-0.8402,1,""" these bitches even worst they'll send them guys for you """
49,49,0.151,0.692,0.157,0.0258,1,""" these hoes like niggas that spend money not talk bout it """
50,50,0.422,0.448,0.13,-0.6774,1,""" we dont trust these niggas all these bitches """
51,51,0.312,0.688,0.0,-0.6108,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
52,52,0.21,0.629,0.161,-0.34,1,""" you dodge a bullet "" &128517 &8220DaRealKha ""All da bitches I cut off pregnant or bound to be ....thank God &128591""&8221"
53,53,0.242,0.497,0.261,0.0772,1,""" young Pill Chamberlain these bitches love my music """
54,54,0.0,0.891,0.109,0.09,1,"""&128514&128514&128514&128514&128514&128514&128514&128514&128514&128514&128514VandalSavage_ Teanna Trump probably cleaner than most of these twitter hoes but........."""
55,55,0.399,0.443,0.158,-0.5859,1,"""&128514&128514&128514&128514&128514&128514&128514&128514&128514&128514DaHomieFuzz Gay niggas couldn't wait to act like bitches tonight"""
56,56,0.259,0.741,0.0,-0.7906,1,"""&128514&128514&128514The_Paradox And ima steal his cat n replace it with a pitbull &128514&128514&128514&128514  80sbaby4life The_Paradox He a bitch you should do it"""
57,57,0.0,1.0,0.0,0.0,1,"""&amp he's gone always be a hoe"""
58,58,0.233,0.613,0.153,-0.3182,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
59,59,0.381,0.619,0.0,-0.8126,1,"""..All I wanna do is get money and fuck model bitches"" - Russell Simmons"
60,60,0.3,0.7,0.0,-0.8074,1,"""2015seniorprobs I probably wouldn&8217t mind school as much if we didn&8217t have to deal with bitch ass teachers"". Retweet"
61,61,0.361,0.639,0.0,-0.5256,1,"""A7XDemery I'm a fucking fag they said"""
62,62,0.0,0.843,0.157,0.5204,1,"""ARIZZLEINDACUT Females think dating a pussy is cute now? http//t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
63,63,0.0,1.0,0.0,0.0,2,"""Addicted2Guys -SimplyAddictedToGuys http//t.co/1jL4hi8ZMF"" woof woof hot scally lad"
64,64,0.36,0.514,0.126,-0.7184,1,"""AdoreBellaaa Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
65,65,0.206,0.683,0.111,-0.3885,1,"""AdoreZoey How u gone bring ur side bitch to a game where You know Ya gf friends at ? &128553&128553&128553&128553"" I SWEAR"
66,66,0.0,1.0,0.0,0.0,2,"""AllAboutManFeet http//t.co/3gzUpfuMev"" woof woof and hot soles"
67,67,0.0,0.797,0.203,0.4215,2,"""Allyhaaaaa Lemmie eat a Oreo &amp do these dishes."" One oreo? Lol"
68,68,0.361,0.495,0.144,-0.6597,1,"""Almightywayne__ JetsAndASwisher Gook____ bitch fuck u http//t.co/pXmGA68NC1"" maybe you'll get better. Just http//t.co/TPreVwfq0S"
69,69,0.464,0.386,0.15,-0.8519,1,"""Almightywayne__ Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
70,70,0.141,0.524,0.335,0.5719,2,"""ArizonasFinest6 Why the eggplant emoji doe?""y he say she looked like scream lmao"
71,71,0.223,0.411,0.366,0.347,1,"""AutoWorId Hennessey Venom GT &128584 http//t.co/i8eGMnKaJ9"" that's one sexy bitch"
72,72,0.0,1.0,0.0,0.0,1,"""BOSSBYTCHH Him seh me pussy wetter then a shower curtain....ahmesehwetness""&ltlmao"
73,73,0.387,0.613,0.0,-0.9181,1,"""BRO_HEN314 Eaglesnation and every Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
74,74,0.355,0.645,0.0,-0.8271,1,"""BVSEDCHINK Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http//t.co/VBCzP6HMT7""
AmJemieBenn"
75,75,0.0,0.696,0.304,0.6037,2,"""BabyAnimalPics baby monkey bathtime http//t.co/7KPWAdLF0R""
Awwwwe This is soooo ADORABLE"
76,76,0.0,0.429,0.571,0.7895,1,"""BaylaaGottaBody &128514&128514&128514&128514 I ain't shit ."" Damn Skippy lol"
77,77,0.222,0.778,0.0,-0.8126,1,"""BeEasyJrizzy u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt30%chance"
78,78,0.265,0.544,0.19,-0.2732,1,"""BeenBasedB _KudaBrazyy http//t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
79,79,0.106,0.798,0.096,-0.0516,1,"""BeenFLYnSolo ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn """
80,80,0.0,1.0,0.0,0.0,1,"""BestProAdvice The facts on tattoos...tattoo http//t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
81,81,0.397,0.392,0.211,-0.7679,1,"""Bill215_ &128175&128175&128175  nel_ayden Bitches be wanting to act like niggas so bad &128553&128553&128553 that shit aint cuteeeee"" but niggas act like bitches.."
82,82,0.352,0.463,0.185,-0.4215,1,"""BitchJones92 Get worshiping bitch http//t.co/R37CejCjou"" woof woof"
83,83,0.119,0.57,0.311,0.5719,1,"""BlackChiquitita Wow.  thatmanpalmer I'm lost. Are those buttcheek piercings? http//t.co/yn6guyOUQ6"" yeah she's a hoe"
84,84,0.268,0.732,0.0,-0.765,1,"""BlackNerdJade Ok, sis."" She'd rather be a broke bitch? shrugs she'll have to tell me how it works for her"
85,85,0.0,1.0,0.0,0.0,0,"""Blackman38Tide WhaleLookyHere HowdyDowdy11 queer"" gaywad"
86,87,0.454,0.546,0.0,-0.8457,1,"""BrokenPiecesmsc ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
87,88,0.47,0.53,0.0,-0.796,1,"""BrosConfessions This bitch was so ungrateful http//t.co/06e77bGwbx"" fr ..... LULWHORE"
88,89,0.432,0.568,0.0,-0.5859,1,"""CASHandBOOBIES I been kidnapped yo bitch"""
89,90,0.161,0.839,0.0,-0.3182,0,"""CB_Baby24 white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
90,91,0.0,0.431,0.569,0.765,1,"""CCobey AydanMcCoy happy birthday nigs"" Thanks yo"
91,92,0.231,0.769,0.0,-0.6705,1,"""CHlLDHOODRUINER when ur teacher tells u that u have homework https//t.co/RKk5vawIj1"" this bitch need to go"
92,93,0.169,0.625,0.206,0.0,1,"""CaelanG15 ""22EdHam CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http//t.co/OSIpBKPr9h"
93,94,0.402,0.598,0.0,-0.8555,1,"""CanIFuckOrNah What would y'all lil ugly bald headed bitches do if they stop making make-up &amp weave?"""
94,95,0.287,0.435,0.278,-0.0772,1,"""CarelessOne92 Leafs better win this damn game so I can go riot and shit EarlyChristmas"" you better start looting my nig"
95,96,0.337,0.663,0.0,-0.7264,1,"""CauseWereGuys Going back to school sucks more dick than the hoes who attend it."""
96,97,0.36,0.64,0.0,-0.8074,1,"""CauseWereGuys On my way to fuck yo bitch http//t.co/j906T5zE2R"" me as a 9 year old"
97,98,0.195,0.805,0.0,-0.5267,1,"""CeleyNichole white_thunduh how come you never bring me food"" i dont have a car retard"
98,99,0.099,0.714,0.188,0.3339,1,"""ChadMFVerbeck If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
99,100,0.0,1.0,0.0,0.0,1,"""ChandlerParsons How bout them Cowboys"" Shutup pussy"
100,101,0.156,0.599,0.246,0.128,1,"""ClicquotSuave LMAOOOOOOOOOOO this nigga Krillz_Nuh_Care http//t.co/AAnpSUjmYI"" &ltbitch want likes for some depressing shit..foh"
101,102,0.164,0.776,0.059,-0.5106,1,"""Coley_Cee lil_aerii girl you know I was spitting that G shit to you &amp you was going lbvs""bitch plz"
102,103,0.152,0.802,0.046,-0.565,1,"""Coley_Cee Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
103,104,0.293,0.632,0.075,-0.5859,1,"""ComedyPosts Harlem shake is just an excuse to go full retard for 30 seconds."""
104,105,0.153,0.717,0.129,-0.1531,1,"""ComedyTruth amen miley &128591 http//t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
105,106,0.0,0.667,0.333,0.7184,1,"""CoryBandz having one loyal female is wayyyyy better than having hoes , idc &128175"""
106,107,0.0,1.0,0.0,0.0,1,"""Crhedrys Pussy licking pussy.... meow meow StopWhitePeople2014 &128049 https//t.co/KeegDCjS5K&8221""""""""

&128533"
107,108,0.216,0.784,0.0,-0.6597,1,"""DBAB_Holloway Check out our 12th man. CowboysNation"" even with all those faggot ny fans in the stands"
108,109,0.283,0.625,0.092,-0.7351,1,"""DGotBricks What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
109,110,0.23,0.424,0.345,0.2263,1,"""DaeDaviDavie white_thunduh im the bitch okay nudes pat &128554&128527&128056"" wow"
110,111,0.0,1.0,0.0,0.0,0,"""DevilGrimz VigxRArts you're fucking gay, blacklisted hoe"" Holding out for TehGodClan anyway http//t.co/xUCcwoetmn"
111,112,0.6,0.4,0.0,-0.8885,1,"""DiamondLoudKush The fuck be wrong with these bitches?"" Nobody knows"
112,113,0.388,0.612,0.0,-0.5859,1,"""Dietrich1892 Yall shut upp"" make me bitch"
113,114,0.517,0.483,0.0,-0.8176,1,"""DionaIrish I hate a ""I'm pregnant"" type of bitch."""
114,115,0.125,0.763,0.112,-0.0644,1,"""DoYou_Q Got bitches in the DM but I don't ever read'em"" which is y your top 3"
115,116,0.0,0.579,0.421,0.8402,2,"""DomWorldPeace Baseball season for the win. Yankees"" This is where the love started"
116,117,0.403,0.424,0.173,-0.585,1,"""Dommoneek Little stupid as bitch I don't fuck with yoooooouuuu.."""
117,118,0.438,0.442,0.12,-0.8544,1,"""DreadheadAri she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
118,119,0.0,0.816,0.184,0.5233,2,"""DunderbaIl I'm an early bird and I'm a night owl, so I'm wise and have worms."""
119,120,0.176,0.685,0.139,-0.1901,2,"""EdgarPixar Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
120,121,0.0,0.787,0.213,0.5859,2,"""El_Grillo1 Pit Bulls Photographed As Lovely Fairy Tale Creatures http//t.co/Q0Sm89oOLh&8221

They are fairy tale creatures."
121,122,0.223,0.576,0.201,-0.0772,1,"""Ferocious_Ghost 1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol"
122,123,0.108,0.736,0.156,0.2732,2,"""FloKid88 As long as the Lakers trash from now on, I could careless. And that's real."". CC BENBALLER hahaha"
123,124,0.272,0.556,0.173,-0.3818,1,"""Frosstyy_ h0rheyd I didn't say anything tho"" kiss me then faggot"
124,125,0.14,0.748,0.112,-0.1531,2,"""FunnyPicsDepot this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http//t.co/ZUai7qWBIR"" &128514 yup"
125,126,0.399,0.601,0.0,-0.8074,1,"""G27Status I could go for a fat ass bitch on my lap"" same"
126,127,0.353,0.647,0.0,-0.7184,1,"""GEDMelle 17 missed calls &128544&128545""Das yo P.O bitch twitter finna be screamn FreeMoneyMelle"
127,128,0.153,0.847,0.0,-0.5859,1,"""GTM_Al Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &128514&128514&128514&128514"
128,129,0.255,0.584,0.161,-0.3182,1,"""GagaTom1 &8220MaleFoot 3 | Amo los pies http//t.co/4QE1hDkK8i&8221"" fuck yeah"
129,130,0.094,0.719,0.186,0.3412,1,"""GirlThatsVonte These hoes be thinking Meat won't slap they ass &128564&128075"" ainna bruh"
130,131,0.379,0.621,0.0,-0.7269,1,"""GirlThatsVonte Yall bitches wit no edges be doing the most talking &128553&128564&9995""&128514&128514&128514"
131,132,0.349,0.499,0.152,-0.7717,1,"""GirlThatsVonte Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
132,133,0.366,0.56,0.074,-0.872,1,"""Girllssues I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
133,134,0.0,0.797,0.203,0.4215,1,"""Gizzy_Jones94 If she kiss u with her eyes open watch that bitch""lmfao"
134,135,0.304,0.696,0.0,-0.5423,1,"""Goofstroop You a woulda coulda shoulda ass hoe &128563&128586"""
135,136,0.509,0.321,0.17,-0.8126,1,"""Gotti_LTF Happy Bday Bitch Ass Nigga JetsAndASwisher""preciate that bitch roll up"
136,137,0.322,0.678,0.0,-0.5859,1,"""HBMostDope 1Jayee PipinHoes used to send that bitch up"""
137,138,0.449,0.449,0.102,-0.8591,1,"""HBMostDope Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&128514&128514"""
138,139,0.176,0.634,0.19,0.3182,1,"""HaloTGMG 1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
139,141,0.45,0.497,0.052,-0.9531,1,"""HeartlessFuck Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp outta jail &amp dumb bitches with mad kids fuckin em."""
140,142,0.201,0.799,0.0,-0.3089,2,"""HermosaAlma This isn't ghetto.....it's smart https//t.co/MPAzQ3Jswf"" I'm doing this idc"
141,143,0.213,0.787,0.0,-0.7374,1,"""HiImJoriB I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
142,144,0.109,0.891,0.0,-0.0572,1,"""HornyFacts Being single isn't an excuse to be a hoe."" TheOneMiss_Luu"
143,145,0.559,0.441,0.0,-0.8225,1,"""HoskinsTy96 White boy power bitch"" black power bitch"
144,146,0.424,0.507,0.069,-0.8689,1,"""Hudgens_11 Lets get drunk, get blowed, spit shit spark blunts &amp fuck hoes"" Bro white dudes have no chill."
145,147,0.226,0.774,0.0,-0.5859,1,"""IScoutGirls verbally_abrupt bitch where u been"" Around the world and back. Where you been?"
146,148,0.288,0.56,0.151,-0.7094,1,"""ItsYahBoiRay anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &128514&128514&128514&128514"" by anelylove "
147,149,0.0,0.867,0.133,0.25,1,"""Itsyesie oomf is soooo cute. But he probably has hoes on him a lot."""
148,150,0.11,0.571,0.318,0.7269,1,"""JAYten9 In every cartoon theirs alway a _nuffsaid15 saving these hoes lmao. http//t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
149,151,0.266,0.734,0.0,-0.7845,2,"""JReebo Who wants to get there nose in these bad bois then scally chav sockfetish stinking http//t.co/FeQxgN0W6I"" hot sox and legs"
150,152,0.165,0.609,0.226,0.1027,1,"""JamesyNBA I wish I was a bitch like my brother keezy &128530"" ooooow I bet you do"
151,153,0.0,1.0,0.0,0.0,1,"""JasminePore If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
152,154,0.301,0.699,0.0,-0.829,1,"""Jewelxo Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" Pornhub get on it Katie&lt3"
153,155,0.46,0.477,0.063,-0.9413,1,"""JoeBudden stop being scared to choke her during sex u bitch ass niggas. She&8217ll like it."". Says the guy who hits women out of bed. FOH"
154,156,0.094,0.626,0.28,0.6182,1,"""Johnny55Perez white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
155,157,0.177,0.823,0.0,-0.594,1,"""KazAtta 1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" fixed"
156,158,0.226,0.774,0.0,-0.5859,1,"""KelsieBelsi You're not a man if you refer to every girl as a bitch"""
157,159,0.112,0.596,0.293,0.7059,1,"""KeyshawnSwag Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?? MY NIGGA"
158,160,0.0,1.0,0.0,0.0,2,"""KeyshawnSwag Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash?"
159,161,0.0,0.674,0.326,0.7003,1,"""KingCuh 16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
160,162,0.0,0.905,0.095,0.296,1,"""KingHendo95 VonDreaam naw it's my old tape. new cover . my upcoming mixtape is KingOfTheHill"" Yeah I'm waiting on that hoe Mayne"
161,163,0.486,0.377,0.137,-0.8126,1,"""KingTeej_ Ol dirty foot ass bitches.."" this was too funny to me."
162,164,0.213,0.519,0.269,0.1027,1,"""King_Shawn_6 white_thunduh that's where I get my yellow flags for being amazing &128079&128524"" HELL YEAH NIGGY"
163,165,0.302,0.698,0.0,-0.5994,1,"""KissMySmilee Don't got time for bitches to be actin iffy."""
164,166,0.0,0.725,0.275,0.6486,2,"""KnightfanNeal UCFPINKPAY come on stay alive knights nation"" This is still the early bird special. ComeAtMeUT"
165,167,0.131,0.772,0.097,-0.1695,1,"""KyraNadiya_ These hoes ain't loyal  no they ain't http//t.co/h1UBsVbkGl""

Smfh &amp wonder why nobody decent wants them"
166,168,0.301,0.646,0.053,-0.8689,1,"""LCisTJ Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE"
167,169,0.441,0.559,0.0,-0.743,1,"""LODYCASH dry pussy bitches always blame it on the condom&128514""&128079&128514&128079&128514"
168,170,0.549,0.451,0.0,-0.8074,1,"""LUNAraps shut yo bitch ass up https//t.co/IemN1u0gm5"" &128557&128514"
169,171,0.0,1.0,0.0,0.0,1,"""LaFlareGodJosh Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
170,172,0.294,0.481,0.225,-0.0772,1,"""Latrobemark You love these hoes more then money wats wrong these niggas"""
171,173,0.12,0.536,0.344,0.7269,1,"""LeBronVuitton A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
172,174,0.0,0.508,0.492,0.7003,1,"""LiLFridayHOE Easy cum, easy hoe"" That's a fact "
173,175,0.0,0.766,0.234,0.5678,1,"""LifeAsBros Charlie Sheen is too real http//t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen."
174,176,0.0,0.816,0.184,0.4019,1,"""Lightskingawdd Wish I had a bae &128533""

You got all the hoes tho"
175,177,0.549,0.451,0.0,-0.8074,1,"""Lil_Mike_12 Fuck twerking bitch can you cook ?"""
176,178,0.717,0.283,0.0,-0.8225,1,"""Linniekravitz WesGodLaFlare bitch wtf"" http//t.co/DaSmycxODB"
177,179,0.098,0.682,0.22,0.4939,1,"""Lipe_the_Great &8220h0rheyd ""Lipe_the_Great Shut up zoe"" fight me pussy&8221 for zoe? I'm good, man."" You are good ma'am. Move along now"
178,180,0.346,0.331,0.323,-0.0717,1,"""LolaaIsDope Lmao fucking snake bitches""  em"
179,181,0.252,0.748,0.0,-0.4019,1,"""Loveable_Aizah Big booty hoes everywhere sheesh &128525"" damn &127807&128064&127807"
180,182,0.0,1.0,0.0,0.0,2,"""MLBNetwork Stay tuned to MLBNetwork for an update on the report that Yankees 1B teixeiramark25 will be out 8-10 weeks"" dliming35 bum"
181,183,0.136,0.633,0.231,0.2732,2,"""M_Rad &8220DezDLT ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http//t.co/tYCIhD6PkW&8221 yes lmfao""soccerboy_04"
182,184,0.371,0.629,0.0,-0.7579,1,"""MadFlyentist Oregon chokes every year get off the field trash ass program"" RFT"
183,185,0.254,0.552,0.195,-0.2575,1,"""MannyDiesel Def not cowboy lol  ArtofFloyd Terrell Owens was the best Eagle &amp Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
184,186,0.24,0.76,0.0,-0.6633,0,"""MarkRoundtreeJr LMFAOOOO I HATE BLACK PEOPLE https//t.co/RNvD2nLCDR"" This is why there's black people and niggers"
185,187,0.257,0.743,0.0,-0.5859,1,"""Master11_ 20ToLife_ GabrielaStarr How could u do this to me bitch"" potent"
186,188,0.336,0.664,0.0,-0.7964,2,"""MaxMayo77 http//t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
187,189,0.0,0.656,0.344,0.6369,2,"""MaxMayo77 http//t.co/PrrskknqRv"" love frat boy w/ soft long soles"
188,190,0.0,0.702,0.298,0.5267,2,"""MaxMayo77 http//t.co/XpSC3makgJ"" sexy lad with hot soles and arches."
189,191,0.239,0.761,0.0,-0.5267,1,"""MegamindNick white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel"
190,192,0.0,0.682,0.318,0.4215,2,"""Mesha_nojas _Vontethekidd &128079&128079&128079&128079&128588"" I got hicks lol"
191,193,0.241,0.591,0.169,-0.1779,1,"""Migsmichelen This new twitter is confusing the shit out of me."" Go back to south america bitch"
192,194,0.329,0.556,0.116,-0.6808,1,"""Miikito_x3 Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
193,195,0.49,0.51,0.0,-0.9468,1,"""MikelaHenry but what if he actually does choose the ugly bitch over you? &58381""Her ass must be fat"
194,196,0.16,0.506,0.334,0.6295,1,"""MileyCyrus bitch couldn't kill my vibe if ya tried. &127752&127752&127752"" dis why i love miley "
195,197,0.382,0.618,0.0,-0.8885,1,"""Montrell_ I'm tired of bitches saying I look mean.. &128530"" nigga you big af, wear tight shirts, and grim everybody."
196,198,0.147,0.853,0.0,-0.3412,2,"""MotherJones 10 birds your grandkids may never see, thanks to climate change http//t.co/XqmXHkAsWt http//t.co/RbITeGRnhm"" Climate"
197,199,0.355,0.28,0.364,0.0258,1,"""MvckFadden ""Stay beautiful you bitch"""""
198,200,0.215,0.785,0.0,-0.6956,1,"""NICKIMINAJ WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
199,201,0.469,0.531,0.0,-0.6486,1,"""NastyCopper Money getting taller and bitches getting blurry"""
200,202,0.188,0.666,0.146,0.0337,1,"""NewsomeJade I ain't never seen a bitch so obsessed with they nigga&128514"" I'm obsessed with mine &128529"
201,203,0.141,0.764,0.095,-0.2385,1,"""Nicholas_ted33 Kobe stay talking trash. But let's not forget http//t.co/VH4tnEkvTP"" J_Austin12 I meant to do this one. Smh."
202,204,0.0,0.502,0.498,0.7871,0,"""NoChillPaz ""At least I'm not a nigger"" http//t.co/RGJa7CfoiT""

Lmfao"
203,205,0.33,0.543,0.127,-0.6705,1,"""No_FAKINGG People always asking me what I'm mixed with."" She a bad asian bitch lol"
204,206,0.169,0.653,0.178,0.3038,0,"""NotoriousBM95 _WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
205,207,0.0,1.0,0.0,0.0,2,"""OSAY_it_aint_so &8220IgnoreAllLaws Fosters home for imaginary trash&8221 WHOA CHILL""

that show was everything tf"
206,208,0.309,0.691,0.0,-0.7003,1,"""OfficialReplay I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe"
207,209,0.302,0.698,0.0,-0.4404,1,"""PRAYINGFORHEAD &8220macklemroe Stop bringing weird niggers into my mentions PRAYINGFORHEAD&8221 http//t.co/cussDJesRK"""
208,210,0.36,0.64,0.0,-0.5216,1,"""PRETTyBOSs_BRAt We don't love these hoes &128080&128581"""
